#logger=serial_logger_v1.3
#saved_at=2026-02-04T17:50:40.308365
#fs_hz=25
#fs_hz_inferred=1
#segment_id=3
#segment_start_ms=2522048
#device_mode_code=5
#device_mode_tag=bus
#storage_mode_tag=bus
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
2526308,-6.9800,-2.7000,6.6300,-6.7874,-2.5025,6.9772,10.0505,2.7500,-0.7500,-3.7500,994.06,8.63,160.98
2526348,-6.5700,-2.0700,6.8800,-6.3774,-1.8725,7.2272,9.8189,2.5625,0.0625,-3.2500,994.04,8.64,161.16
2526388,-6.7300,-2.5600,6.8200,-6.5374,-2.3625,7.1672,9.9844,3.6875,1.4375,-3.9375,994.05,8.64,161.11
2526428,-6.4000,-1.8500,6.4300,-6.2074,-1.6525,6.7772,9.3377,3.1875,1.5000,-2.4375,994.04,8.64,161.18
2526468,-7.0700,-2.6000,6.4600,-6.8774,-2.4025,6.8072,9.9704,3.8125,2.5625,-3.8125,994.04,8.64,161.21
2526508,-6.8800,-2.3700,6.9500,-6.6874,-2.1725,7.2972,10.1336,4.5000,-1.7500,-5.5625,994.03,8.64,161.23
2526548,-6.5800,-2.4200,6.6300,-6.3874,-2.2225,6.9772,9.7170,4.3750,1.2500,-4.5625,994.03,8.64,161.23
2526588,-6.9200,-2.2500,6.6200,-6.7274,-2.0525,6.9672,9.9001,5.1250,0.4375,-4.0625,994.04,8.64,161.19
2526628,-7.2600,-1.9700,6.7700,-7.0674,-1.7725,7.1172,10.1855,4.4375,-0.7500,-5.0000,994.06,8.64,161.01
2526668,-7.1000,-2.6100,6.7100,-6.9074,-2.4125,7.0572,10.1655,3.1875,-1.5625,-5.1250,994.06,8.64,161.04
2526708,-7.0000,-3.0300,6.5000,-6.8074,-2.8325,6.8472,10.0622,3.1250,0.2500,-4.1875,994.06,8.64,161.03
2526749,-6.7900,-2.6900,6.2700,-6.5974,-2.4925,6.6172,9.6709,3.2500,0.5625,-5.1250,994.05,8.64,161.13
2526789,-7.2800,-2.6200,7.1200,-7.0874,-2.4225,7.4672,10.5763,3.0625,-2.7500,-5.4375,994.04,8.64,161.17
2526829,-6.8800,-2.1700,6.8100,-6.6874,-1.9725,7.1572,9.9919,2.5625,-0.1875,-5.3750,994.04,8.64,161.22
2526869,-7.1000,-3.1400,6.1500,-6.9074,-2.9425,6.4972,9.9290,5.0625,3.1875,-6.8125,994.04,8.64,161.18
2526909,-6.9200,-2.7100,6.2800,-6.7274,-2.5125,6.6272,9.7719,2.1875,-0.8750,-5.5625,994.02,8.64,161.36
2526949,-7.1500,-2.0100,6.1900,-6.9574,-1.8125,6.5372,9.7173,5.3750,-0.8125,-6.2500,994.02,8.64,161.31
